album,artist,track_name,track_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,temp,time_signature
Blood Sugar Sex Magik,Red Hot Chili Peppers,Naked in the Rain,spotify:track:6xid2NOIS1aqviPPe67OqF,232147,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4
Blood Sugar Sex Magik,Red Hot Chili Peppers,Apache Rose Peacock,spotify:track:3p3BfV7NeWCAHx9tSwsJEQ,403293,0.271,0.959,7,-5.866,1,0.125,0.000256,0.854,0.0858,0.0642,131.846,4
Blood Sugar Sex Magik,Red Hot Chili Peppers,The Greeting Song,spotify:track:5HYKskVhty99c7Txyydwmp,236216,0.826,0.449,5,-8.33,0,0.0674,0.556,1.85e-05,0.273,0.337,128.028,4
Blood Sugar Sex Magik,Red Hot Chili Peppers,My Lovely Man,spotify:track:402sXCQikR6VV2x2265Jsm,170509,0.85,0.5,8,-6.708,1,0.0665,0.0139,0.000384,0.0947,0.816,160.02,4
Blood Sugar Sex Magik,Red Hot Chili Peppers,Sir Psycho Sexy,spotify:track:1J5ZXurCRQdFHWfOiFt12x,159229,0.727,0.58,2,-6.804,0,0.136,0.185,3.58e-06,0.125,0.325,137.048,4
Blood Sugar Sex Magik,Red Hot Chili Peppers,They're Red Hot,spotify:track:1jQ0EZPAY3HpBRgUev6X1Q,229456,0.651,0.575,0,-7.739,1,0.299,0.627,0.000202,0.0961,0.248,160.007,4
Blood Sugar Sex Magik,Red Hot Chili Peppers,Little Miss Lover - 2006 Remaster,spotify:track:1CNDe1BS7dKfUsYb5vm5rO,224512,0.855,0.512,11,-8.165,1,0.0534,0.146,0.000854,0.107,0.144,146.075,4
Blood Sugar Sex Magik,Red Hot Chili Peppers,Castles Made of Sand - 2006 Remaster,spotify:track:7mUNyl16vX2OrKqMAuZJF9,233128,0.514,0.646,1,-8.833,1,0.275,0.197,2.3e-05,0.0958,0.297,88.661,4
Tragic Kingdom,No Doubt,Spiderwebs,spotify:track:4ZD6SiaJi75smnel0d7jl3,301920,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4
Tragic Kingdom,No Doubt,Excuse Me Mr.,spotify:track:7E7UH5jsEw1vhiM01EQ5gL,255080,0.436,0.876,10,-4.902,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,4
Tragic Kingdom,No Doubt,Just A Girl,spotify:track:5lWRaa0fBxDE5yU91npPq7,218920,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,4
Tragic Kingdom,No Doubt,Happy Now?,spotify:track:0v6dwtqJG3vK3mqUU6Q1yR,184040,0.262,0.969,4,-4.675,1,0.0894,3.69e-06,0.00213,0.133,0.263,158.433,4
Tragic Kingdom,No Doubt,Different People,spotify:track:6PM8yaNDDfXc0kHIMSuIKR,257053,0.678,0.656,7,-6.41,1,0.0381,0.00174,0,0.0631,0.485,123.207,4
Tragic Kingdom,No Doubt,Hey You,spotify:track:3eYt1hwUamWtOEXEsIVojS,173853,0.83,0.382,2,-11.231,0,0.0566,0.884,0.301,0.11,0.54,121.12,4
Tragic Kingdom,No Doubt,The Climb,spotify:track:2Ux8K31dr7EJUPcs7EVmtt,142947,0.285,0.979,2,-4.428,1,0.175,0.000144,0,0.334,0.108,182.7,4
Tragic Kingdom,No Doubt,Sixteen,spotify:track:6e4st0wnY9vIzPdnPNZ4e9,223880,0.325,0.929,11,-5.625,0,0.0695,0.000129,2.22e-06,0.184,0.198,133.358,4
Tragic Kingdom,No Doubt,Sunday Morning,spotify:track:6yCjhDzcVIfxvTjBKhhn7P,156427,0.341,0.964,11,-5.327,0,0.107,1.26e-05,0.000103,0.151,0.459,152.192,4
Tragic Kingdom,No Doubt,Don't Speak,spotify:track:6urCAbunOQI4bLhmGpX7iS,211440,0.367,0.981,11,-5.1,0,0.128,5.39e-06,0.0461,0.0822,0.205,165.21,4
Tragic Kingdom,No Doubt,You Can Do It,spotify:track:1mZpYgTHN7dzKBsQSrzVtP,194427,0.428,0.946,2,-4.674,1,0.102,0.000119,3.37e-06,0.141,0.358,133.26,4
Tragic Kingdom,No Doubt,World Go 'Round,spotify:track:3P59xKnHQV5HNKuMZkQB5z,232147,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4
Tragic Kingdom,No Doubt,End It On This,spotify:track:4sMtNNGcMCgu4Hn8FaTVcG,403293,0.271,0.959,7,-5.866,1,0.125,0.000256,0.854,0.0858,0.0642,131.846,4
Tragic Kingdom,No Doubt,Tragic Kingdom,spotify:track:46g6lMl5cKrP82uTD623jB,236216,0.826,0.449,5,-8.33,0,0.0674,0.556,1.85e-05,0.273,0.337,128.028,4
Mellon Collie and The Infinite Sadness (Deluxe Edition),Smashing Pumpkins,Mellon Collie And The Infinite Sadness - Remastered 2012,spotify:track:5LtIsKctHGXbE1M3U6g7qO,301920,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4
