album,artist,track_name,track_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,temp,time_signature
Their Greatest Hits 1971–1975 (2013 Remaster),Eagles,Take It Easy - 2013 Remaster,spotify:track:5kT9zYfbVQa2Dz1s2QJ7aw,369600,0.482,0.721,0,-6.839,1,0.0321,0.731,0,0.189,0.557,95.263,4
Their Greatest Hits 1971–1975 (2013 Remaster),Eagles,Witchy Woman - 2013 Remaster,spotify:track:1bNVtTNLgeOVgWUqBdXwyP,356227,0.504,0.808,11,-7.25,1,0.0584,0.408,0,0.316,0.653,123.866,4
Their Greatest Hits 1971–1975 (2013 Remaster),Eagles,Lyin' Eyes - 2013 Remaster,spotify:track:1MgDXY89MOoohMeaMoHaED,245133,0.493,0.579,8,-7.743,1,0.0319,0.772,8.06E-05,0.0759,0.475,93.353,4
Their Greatest Hits 1971–1975 (2013 Remaster),Eagles,Already Gone - 2013 Remaster,spotify:track:3skDOBrSq9FWtKDBFawLt0,195693,0.287,0.72,0,-6.231,1,0.0347,0.756,3.41E-06,0.263,0.709,176.302,4
Their Greatest Hits 1971–1975 (2013 Remaster),Eagles,Desperado - 2013 Remaster,spotify:track:7CtHtpkGwE4JAhg7wsmAit,356707,0.473,0.574,11,-8.189,0,0.032,0.695,0,0.509,0.499,74.056,4
Their Greatest Hits 1971–1975 (2013 Remaster),Eagles,One of These Nights - 2013 Remaster,spotify:track:0EbLzgRAninN9VKUooiweR,327467,0.369,0.691,0,-6.234,1,0.0387,0.778,1.39E-05,0.327,0.382,104.371,4
Their Greatest Hits 1971–1975 (2013 Remaster),Eagles,Tequila Sunrise - 2013 Remaster,spotify:track:5M9sPsOUhrBlw82xIzrTj4,205827,0.49,0.808,10,-6.725,1,0.0409,0.475,0,0.232,0.604,73.434,4
Their Greatest Hits 1971–1975 (2013 Remaster),Eagles,Take It to the Limit - 2013 Remaster,spotify:track:10QgpqUonnv6spY6CEYUIg,327560,0.497,0.511,7,-8.318,1,0.0271,0.702,0,0.262,0.591,99.5,4
Their Greatest Hits 1971–1975 (2013 Remaster),Eagles,Peaceful Easy Feeling - 2013 Remaster,spotify:track:7358RmiSV37br3RdwF3PNe,681400,0.432,0.605,4,-6.941,1,0.0306,0.673,0,0.129,0.647,109.227,4
Their Greatest Hits 1971–1975 (2013 Remaster),Eagles,The Best of My Love - 2013 Remaster,spotify:track:1SygWpTusxfl3yhOspfXbH,122893,0.451,0.673,7,-9.115,1,0.0734,0.0857,0.00225,0.797,0.583,95.513,4
Exodus,Bob Marley & the Wailers,Natural Mystic,spotify:track:2gvyIHua7cS9L53NvHfa9c,369600,0.482,0.721,0,-6.839,1,0.0321,0.731,0,0.189,0.557,95.263,4
Exodus,Bob Marley & the Wailers,So Much Things To Say,spotify:track:4z62783TED1Rz0XOpBLOV7,356227,0.504,0.808,11,-7.25,1,0.0584,0.408,0,0.316,0.653,123.866,4
Exodus,Bob Marley & the Wailers,Guiltiness,spotify:track:6HrfowLOfZo2hy01Md494V,245133,0.493,0.579,8,-7.743,1,0.0319,0.772,8.06E-05,0.0759,0.475,93.353,4
Exodus,Bob Marley & the Wailers,The Heathen,spotify:track:3GlaUbcv4UvNR6bFLzAZJe,195693,0.287,0.72,0,-6.231,1,0.0347,0.756,3.41E-06,0.263,0.709,176.302,4
Exodus,Bob Marley & the Wailers,Exodus,spotify:track:5nDPGDOqmAeSV4hXQsAU01,356707,0.473,0.574,11,-8.189,0,0.032,0.695,0,0.509,0.499,74.056,4
Exodus,Bob Marley & the Wailers,Jamming,spotify:track:4zn0kScuV9Oj28d4g9CQQs,327467,0.369,0.691,0,-6.234,1,0.0387,0.778,1.39E-05,0.327,0.382,104.371,4
Exodus,Bob Marley & the Wailers,Waiting In Vain,spotify:track:4Gq2ydMKhDZmctzkmk2bYo,205827,0.49,0.808,10,-6.725,1,0.0409,0.475,0,0.232,0.604,73.434,4
Exodus,Bob Marley & the Wailers,Turn Your Lights Down Low,spotify:track:5qX1QLYUgzhIdrjKUnRd3p,327560,0.497,0.511,7,-8.318,1,0.0271,0.702,0,0.262,0.591,99.5,4
Exodus,Bob Marley & the Wailers,Three Little Birds,spotify:track:6A9mKXlFRPMPem6ygQSt7z,681400,0.432,0.605,4,-6.941,1,0.0306,0.673,0,0.129,0.647,109.227,4
Exodus,Bob Marley & the Wailers,One Love / People Get Ready - Medley,spotify:track:2HcyIzVsX45jLIxK7SH2aI,122893,0.451,0.673,7,-9.115,1,0.0734,0.0857,0.00225,0.797,0.583,95.513,4
Exodus,Bob Marley & the Wailers,Roots,spotify:track:3gBayDLYifAkoGXGOSN8mD,164107,0.705,0.515,4,-9.343,1,0.0337,0.365,0,0.389,0.803,112.035,4
Exodus,Bob Marley & the Wailers,Waiting In Vain - Alternate Version,spotify:track:18nAHjKEvZ9s0aJkjPg79j,208467,0.311,0.325,2,-9.042,1,0.0283,0.0469,0,0.139,0.668,65.09,1
Exodus,Bob Marley & the Wailers,Jamming - Long Version,spotify:track:1JD0IQb6UR5BJvRBg6hfTi,168120,0.632,0.471,0,-7.887,1,0.0348,0.313,5.08E-06,0.0712,0.764,121.672,4
Exodus,Bob Marley & the Wailers,Jammin',spotify:track:3nx9g7KqzEgLvvY32zgF0O,156827,0.469,0.507,0,-8.917,0,0.0451,0.382,0,0.0783,0.619,112.984,4
